occupation_code,occupation_title,occupation_group,sub_occupation_count,employment_count,employment_share_pct,pay_median_monthly,skill_level,education_proxy,demand_index,demand_label,description
24,Business and Administration Professionals,Professionals,1,4000000,,42000.0,4,Bachelor's or Master's degree in commerce/business (B.Com/MBA/CA/CS),60,portal-derived demand proxy,"Analyse and advise on financial, accounting, policy, organisational and management matters. Includes accountants, financial and investment advisers, human resource and management consultants."
25,Information and Communications Technology Professionals,Professionals,1,3300000,,60000.0,4,Bachelor's in computer science/IT (B.Tech/BCA/MCA),95,portal-derived demand proxy,"Design, develop, test and maintain software, hardware and network systems. Includes software developers, database administrators, systems analysts and web developers."
26,"Legal, Social and Cultural Professionals",Professionals,1,2000000,,30000.0,4,"Bachelor's or Master's degree (LLB, MA, MSW); professional registration",25,portal-derived demand proxy,"Provide legal services, conduct social-science research, minister to religious groups and create literary, visual and performing art works. Includes lawyers, economists, social workers, journalists and artists."
31,Science and Engineering Associate Professionals,Technicians and Associate Professionals,1,3500000,,25000.0,3,Diploma in engineering/technology (polytechnic); some hold B.Tech,50,portal-derived demand proxy,"Perform technical tasks in research, engineering, manufacturing, construction, mining and related fields under the supervision of science and engineering professionals."
32,Health Associate Professionals,Technicians and Associate Professionals,1,2500000,,22000.0,3,Diploma or bachelor's in nursing/pharmacy/allied health (GNM/B.Sc Nursing/D.Pharm),55,portal-derived demand proxy,"Provide technical and practical support in health services. Includes medical and pharmaceutical technicians, nursing associates, physiotherapy technicians and community health workers."
33,Business and Administration Associate Professionals,Technicians and Associate Professionals,1,4500000,,28000.0,3,Bachelor's degree or diploma in commerce/business,50,portal-derived demand proxy,"Perform business, finance, administration, sales, insurance and related functions at a technical or paraprofessional level. Includes bookkeepers, insurance agents, customs officers and real estate agents."
34,"Legal, Social, Cultural and Related Associate Professionals",Technicians and Associate Professionals,1,1800000,,20000.0,3,Diploma or bachelor's degree in relevant field,20,portal-derived demand proxy,"Provide support services in legal, social, cultural, sport and religious fields. Includes paralegals, social work associates, sports coaches and religious associates."
35,Information and Communications Technicians,Technicians and Associate Professionals,1,1800000,,35000.0,3,Diploma in IT/electronics; ITI certificate; BCA,70,portal-derived demand proxy,"Provide technical support for ICT systems including installation, testing, maintenance and repair of hardware, networks and user applications."
41,General and Keyboard Clerks,Clerical Support Workers,1,3500000,,18000.0,2,Higher secondary (12th pass); typing/computer certificate,45,portal-derived demand proxy,"Record, organise, store, compute and retrieve data and information. Includes typists, data-entry operators and general office clerks."
42,Customer Services Clerks,Clerical Support Workers,1,3000000,,16000.0,2,Higher secondary or bachelor's degree,65,portal-derived demand proxy,"Interact directly with clients and customers to provide information, handle complaints and process transactions. Includes bank tellers, receptionists and call-centre agents."
43,Numerical and Material Recording Clerks,Clerical Support Workers,1,3000000,,22000.0,2,Higher secondary with commerce; diploma in accounting,40,portal-derived demand proxy,"Record, compute and retrieve financial and statistical data, and keep records of materials, goods and transport schedules. Includes accounting clerks and stock clerks."
44,Other Clerical Support Workers,Clerical Support Workers,1,1700000,,15000.0,2,Higher secondary (12th pass); basic computer literacy,25,portal-derived demand proxy,"Perform clerical duties not classified elsewhere such as coding, proof-reading, filing and sorting mail. Includes library clerks and mail carriers."
51,Personal Service Workers,Service and Sales Workers,1,18000000,,12000.0,2,Secondary (10th pass) to higher secondary; vocational certificates,50,portal-derived demand proxy,"Provide personal services related to travel, housekeeping, food preparation, hairdressing, beauty treatment, companionship and other areas. Includes cooks, waiters and hairdressers."
52,Sales Workers,Service and Sales Workers,1,30000000,,14000.0,2,Secondary to higher secondary; often informal training,70,portal-derived demand proxy,"Sell goods and services wholesale or retail, operate market stalls and demonstrate goods. Includes shop keepers, street vendors and sales demonstrators."
53,Personal Care Workers,Service and Sales Workers,1,8400000,,10000.0,2,Secondary education; short-term care training,30,portal-derived demand proxy,"Provide personal care to children, the elderly and persons with health problems at home or in care institutions. Includes child care workers and home-based health aides."
54,Protective Services Workers,Service and Sales Workers,1,11000000,,18000.0,2,Secondary to higher secondary; police/military training,45,portal-derived demand proxy,"Protect persons and property against fire, illegal acts and other hazards. Includes police officers, fire-fighters and private security guards."
61,Market-oriented Skilled Agricultural Workers,"Skilled Agricultural, Forestry and Fishery Workers",1,85000000,,9000.0,2,Primary to secondary education; agricultural extension training,10,portal-derived demand proxy,"Plan, organise and perform farming operations to grow and harvest crops, breed and raise livestock and produce a variety of animal husbandry products for sale or delivery to wholesale buyers and marketing organisations."
62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers","Skilled Agricultural, Forestry and Fishery Workers",1,12000000,,10000.0,2,Primary to secondary education; some vocational training,8,portal-derived demand proxy,"Plan, organise and perform forestry, aquaculture and hunting operations to grow and harvest timber, cultivate and catch fish, and hunt or trap wild animals for market sale."
63,"Subsistence Farmers, Fishers, Hunters and Gatherers","Skilled Agricultural, Forestry and Fishery Workers",1,32300000,,6000.0,2,Primary education or below; informal/traditional learning,3,portal-derived demand proxy,"Grow crops, raise livestock, catch fish, hunt or gather wild products primarily for their own consumption or that of their household. Common in rural India where small and marginal holdings predominate."
71,Building and Related Trades Workers (excluding Electricians),Craft and Related Trades Workers,1,20000000,,14000.0,2,Primary to secondary education; ITI certificate in some cases,55,portal-derived demand proxy,"Construct, maintain and repair buildings, roads and other structures. Includes masons, carpenters, plasterers, roofers and floor layers."
72,"Metal, Machinery and Related Trades Workers",Craft and Related Trades Workers,1,15000000,,16000.0,2,ITI/ITC certificate; secondary education,45,portal-derived demand proxy,"Cast, weld, forge, shape and tool metal; install, fit and maintain machinery, equipment and mechanical components. Includes blacksmiths, welders and fitters."
73,Handicraft and Printing Workers,Craft and Related Trades Workers,1,5500000,,12000.0,2,Primary to secondary; traditional craft training,12,portal-derived demand proxy,"Produce handmade decorative articles, pottery, glass, textile and leather craft goods. Set up and operate printing presses and bind books."
74,Electrical and Electronic Trades Workers,Craft and Related Trades Workers,1,10000000,,18000.0,2,ITI certificate in electrician/electronics; diploma,55,portal-derived demand proxy,"Install, maintain and repair electrical wiring, motors, transformers, electronic equipment and telecommunications systems. Includes electricians and electronics mechanics."
75,"Food Processing, Wood Working, Garment and Other Craft Workers",Craft and Related Trades Workers,1,16900000,,13000.0,2,Primary to secondary; vocational training,40,portal-derived demand proxy,"Process food, work with wood, make garments and perform other craft-related activities. Includes butchers, bakers, tailors, cabinet makers and weavers."
81,Stationary Plant and Machine Operators,"Plant and Machine Operators, and Assemblers",1,12000000,,16000.0,2,Secondary education; ITI in relevant trade,35,portal-derived demand proxy,"Operate and monitor stationary industrial machinery and equipment used in mining, manufacturing, processing and utilities. Includes machine tool operators and chemical plant operators."
82,Assemblers,"Plant and Machine Operators, and Assemblers",1,5300000,,14000.0,2,Secondary education; some ITI training,40,portal-derived demand proxy,"Assemble component parts of manufactured products such as mechanical, electrical, electronic and metal articles according to specifications."
83,Drivers and Mobile Plant Operators,"Plant and Machine Operators, and Assemblers",1,22000000,,20000.0,2,Primary to secondary education; valid driving license,60,portal-derived demand proxy,"Drive and operate trains, motor vehicles, mobile heavy equipment and other transport machinery. Includes truck drivers, bus drivers and auto-rickshaw drivers."
91,Cleaners and Helpers,Elementary Occupations,1,30000000,,8000.0,1,Primary education or below; minimal formal requirements,30,portal-derived demand proxy,"Sweep, wash, dust and clean buildings, vehicles and public areas; wash dishes, laundry and assist in kitchens and households."
92,"Agricultural, Forestry and Fishery Labourers",Elementary Occupations,1,75000000,,6500.0,1,Primary education or below,5,portal-derived demand proxy,"Perform simple routine tasks in crop production, forestry, fishing and hunting, usually under supervision. Includes farm labourers and plantation workers."
93,"Labourers in Mining, Construction, Manufacturing and Transport",Elementary Occupations,1,42000000,,9000.0,1,Primary education or below,25,portal-derived demand proxy,"Perform simple routine physical tasks in mining, construction, manufacturing and transport sectors. Includes hand packers, load carriers and earth-moving labourers."
94,Food Preparation Assistants,Elementary Occupations,1,12000000,,7500.0,1,Primary to secondary education,35,portal-derived demand proxy,"Prepare and cook food in restaurants, hotels, street stalls and homes following simple recipes or instructions. Includes kitchen helpers and fast-food preparers."
95,Street and Related Sales and Service Workers,Elementary Occupations,1,16500000,,7000.0,1,Primary education or below; minimal formal requirements,5,portal-derived demand proxy,"Sell goods and provide services on streets and in public places. Includes newspaper vendors, shoe shiners and door-to-door salespersons."
96,Refuse Workers and Other Elementary Workers,Elementary Occupations,1,10000000,,6000.0,1,Primary education or below,15,portal-derived demand proxy,"Collect and sort refuse, sweep streets and public places, and perform other elementary tasks not classified elsewhere. Includes garbage collectors and manual scavengers."
